pair_id,variant,plain_size,transformed_size,recv_ts_us,payload_bytes
34465,0,128,0,1763725903414840,128
34465,4,128,32,1763725903414845,32
34466,0,128,0,1763725903414850,128
34466,4,128,32,1763725903414856,32
34467,0,128,0,1763725903414861,128
34467,4,128,32,1763725903414867,32
34468,0,128,0,1763725903414875,128
34468,4,128,32,1763725903414887,32
34469,0,128,0,1763725903414895,128
34469,4,128,32,1763725903414904,32
34470,0,128,0,1763725903415406,128
34470,4,128,32,1763725903415442,32
34471,0,128,0,1763725903418861,128
34471,4,128,32,1763725903418897,32
34472,0,128,0,1763725903418940,128
34472,4,128,32,1763725903418950,32
34473,0,128,0,1763725903418958,128
34473,4,128,32,1763725903418964,32
34474,0,128,0,1763725903418971,128
34474,4,128,32,1763725903418977,32
34475,0,128,0,1763725903418983,128
34475,4,128,32,1763725903418990,32
34476,0,128,0,1763725903418997,128
34476,4,128,32,1763725903419004,32
34477,0,128,0,1763725903419011,128
34477,4,128,32,1763725903419017,32
34478,0,128,0,1763725903419023,128
34478,4,128,32,1763725903419029,32
34479,0,128,0,1763725903419039,128
34479,4,128,32,1763725903419046,32
34480,0,128,0,1763725903419111,128
34480,4,128,32,1763725903419119,32
34481,0,128,0,1763725903419127,128
34481,4,128,32,1763725903419136,32
34482,0,128,0,1763725903419299,128
34482,4,128,32,1763725903419308,32
34483,0,128,0,1763725903419633,128
34483,4,128,32,1763725903419677,32
34484,0,128,0,1763725903420236,128
34484,4,128,32,1763725903420280,32
34485,0,128,0,1763725903420287,128
34485,4,128,32,1763725903420294,32
34486,0,128,0,1763725903420299,128
34486,4,128,32,1763725903420305,32
34487,0,128,0,1763725903420665,128
34487,4,128,32,1763725903420684,32
34488,0,128,0,1763725903430274,128
34488,4,128,32,1763725903430323,32
34489,0,128,0,1763725903430329,128
34489,4,128,32,1763725903430335,32
34490,0,128,0,1763725903430340,128
34490,4,128,32,1763725903430344,32
34491,0,128,0,1763725903430349,128
34491,4,128,32,1763725903430353,32
34492,0,128,0,1763725903430358,128
34492,4,128,32,1763725903430378,32
34493,0,128,0,1763725903430384,128
34493,4,128,32,1763725903430389,32
34494,0,128,0,1763725903430394,128
34494,4,128,32,1763725903430399,32
34495,0,128,0,1763725903430403,128
34495,4,128,32,1763725903430408,32
34496,0,128,0,1763725903430412,128
34496,4,128,32,1763725903430417,32
34497,0,128,0,1763725903430426,128
34497,4,128,32,1763725903430431,32
34498,0,128,0,1763725903430445,128
34498,4,128,32,1763725903430452,32
34499,0,128,0,1763725903430459,128
34499,4,128,32,1763725903430467,32
34500,0,128,0,1763725903430474,128
34500,4,128,32,1763725903430479,32
34501,0,128,0,1763725903430486,128
34501,4,128,32,1763725903430495,32
34502,0,128,0,1763725903430502,128
34502,4,128,32,1763725903430508,32
34503,0,128,0,1763725903430513,128
34503,4,128,32,1763725903430519,32
34504,0,128,0,1763725903430528,128
34504,4,128,32,1763725903430535,32
34505,0,128,0,1763725903430542,128
34505,4,128,32,1763725903430552,32
34506,0,128,0,1763725903430559,128
34506,4,128,32,1763725903430566,32
34507,0,128,0,1763725903430573,128
34507,4,128,32,1763725903430581,32
34508,0,128,0,1763725903430588,128
34508,4,128,32,1763725903430595,32
34509,0,128,0,1763725903430600,128
34509,4,128,32,1763725903430607,32
34510,0,128,0,1763725903430615,128
34510,4,128,32,1763725903430620,32
34511,0,128,0,1763725903430626,128
34511,4,128,32,1763725903430634,32
34512,0,128,0,1763725903430641,128
34512,4,128,32,1763725903430648,32
34513,0,128,0,1763725903430655,128
34513,4,128,32,1763725903430663,32
34514,0,128,0,1763725903431482,128
34514,4,128,32,1763725903431519,32
34515,0,128,0,1763725903438548,128
34515,4,128,32,1763725903438591,32
34516,0,128,0,1763725903438694,128
34516,4,128,32,1763725903438713,32
34517,0,128,0,1763725903438720,128
34517,4,128,32,1763725903438726,32
34518,0,128,0,1763725903438730,128
34518,4,128,32,1763725903438735,32
34519,0,128,0,1763725903438740,128
34519,4,128,32,1763725903438745,32
34520,0,128,0,1763725903438749,128
34520,4,128,32,1763725903438754,32
34521,0,128,0,1763725903438767,128
34521,4,128,32,1763725903438774,32
34522,0,128,0,1763725903438782,128
34522,4,128,32,1763725903438789,32
34523,0,128,0,1763725903438796,128
34523,4,128,32,1763725903438804,32
34524,0,128,0,1763725903438809,128
34524,4,128,32,1763725903438814,32
34525,0,128,0,1763725903438819,128
34525,4,128,32,1763725903438827,32
34526,0,128,0,1763725903438838,128
34526,4,128,32,1763725903438845,32
34527,0,128,0,1763725903438850,128
34527,4,128,32,1763725903438857,32
34528,0,128,0,1763725903438863,128
34528,4,128,32,1763725903438868,32
34529,0,128,0,1763725903439244,128
34529,4,128,32,1763725903439283,32
34530,0,128,0,1763725903439290,128
34530,4,128,32,1763725903439295,32
34531,0,128,0,1763725903439300,128
34531,4,128,32,1763725903439305,32
34532,0,128,0,1763725903439310,128
34532,4,128,32,1763725903439315,32
34533,0,128,0,1763725903439319,128
34533,4,128,32,1763725903439324,32
34534,0,128,0,1763725903439331,128
34534,4,128,32,1763725903439343,32
34535,0,128,0,1763725903439350,128
34535,4,128,32,1763725903439356,32
34536,0,128,0,1763725903439376,128
34536,4,128,32,1763725903439385,32
34537,0,128,0,1763725903439391,128
34537,4,128,32,1763725903439399,32
34538,0,128,0,1763725903439404,128
34538,4,128,32,1763725903439411,32
34539,0,128,0,1763725903439417,128
34539,4,128,32,1763725903439424,32
34540,0,128,0,1763725903439945,128
34540,4,128,32,1763725903439982,32
34541,0,128,0,1763725903446487,128
34541,4,128,32,1763725903446532,32
34542,0,128,0,1763725903446540,128
34542,4,128,32,1763725903446546,32
34543,0,128,0,1763725903446552,128
34543,4,128,32,1763725903446560,32
34544,0,128,0,1763725903446565,128
34544,4,128,32,1763725903446571,32
34545,0,128,0,1763725903446577,128
34545,4,128,32,1763725903446582,32
34546,0,128,0,1763725903446694,128
34546,4,128,32,1763725903446718,32
34547,0,128,0,1763725903446728,128
34547,4,128,32,1763725903446735,32
34548,0,128,0,1763725903446743,128
34548,4,128,32,1763725903446750,32
34549,0,128,0,1763725903446757,128
34549,4,128,32,1763725903446768,32
34550,0,128,0,1763725903446777,128
34550,4,128,32,1763725903446787,32
34551,0,128,0,1763725903446794,128
34551,4,128,32,1763725903446801,32
34552,0,128,0,1763725903446811,128
34552,4,128,32,1763725903446820,32
34553,0,128,0,1763725903446827,128
34553,4,128,32,1763725903446838,32
34554,0,128,0,1763725903446848,128
34554,4,128,32,1763725903446858,32
34555,0,128,0,1763725903446865,128
34555,4,128,32,1763725903446874,32
34556,0,128,0,1763725903446883,128
34556,4,128,32,1763725903446894,32
34557,0,128,0,1763725903447121,128
34557,4,128,32,1763725903447144,32
34558,0,128,0,1763725903447154,128
34558,4,128,32,1763725903447166,32
34559,0,128,0,1763725903447173,128
34559,4,128,32,1763725903447181,32
34560,0,128,0,1763725903447189,128
34560,4,128,32,1763725903447195,32
34561,0,128,0,1763725903447203,128
34561,4,128,32,1763725903447212,32
34562,0,128,0,1763725903447222,128
34562,4,128,32,1763725903447230,32
34563,0,128,0,1763725903447238,128
34563,4,128,32,1763725903447250,32
34564,0,128,0,1763725903447262,128
34564,4,128,32,1763725903447270,32
34565,0,128,0,1763725903447277,128
34565,4,128,32,1763725903447285,32
34566,0,128,0,1763725903447292,128
34566,4,128,32,1763725903447300,32
34567,0,128,0,1763725903447308,128
34567,4,128,32,1763725903447316,32
34568,0,128,0,1763725903447733,128
34568,4,128,32,1763725903447758,32
34569,0,128,0,1763725903447963,128
34569,4,128,32,1763725903447996,32
34570,0,128,0,1763725903448005,128
34570,4,128,32,1763725903448013,32
34571,0,128,0,1763725903448020,128
34571,4,128,32,1763725903448030,32
34572,0,128,0,1763725903448377,128
34572,4,128,32,1763725903448397,32
34573,0,128,0,1763725903448782,128
34573,4,128,32,1763725903448791,32
34574,0,128,0,1763725903455180,128
34574,4,128,32,1763725903455221,32
34575,0,128,0,1763725903455345,128
34575,4,128,32,1763725903455374,32
34576,0,128,0,1763725903455383,128
34576,4,128,32,1763725903455388,32
34577,0,128,0,1763725903455396,128
34577,4,128,32,1763725903455403,32
34578,0,128,0,1763725903455409,128
34578,4,128,32,1763725903455416,32
34579,0,128,0,1763725903455421,128
34579,4,128,32,1763725903455429,32
